Goddess of War,Plitvice
Knight Lady,Lapice
Grand Admiral,Marina
Executive Red Hood,Arabelle
Idol Captain,Eva
Flower Girl,Bari
Ice Witch,Lupina
Scrivenger,Lahn
Movie Star,Eugene
Dancing Archer,Tinia
Dragon Avatar,Vishuvac
Eight-tailed Fox,Nari
Noble Succubus,Bianca
Mecha Warrior,Oghma
Golem Rider,Alef
Exorcist,Miya
,Future Princess
Nine-tailed Fox,Garam
Dark Magician,Beth
Santa's Little Helper,Rue
Archangel,Gabriel
Drunken Swordsmaster,Lynn
,Future Knight
Chosen One's Archpriestess,Veronica
Necromancer,Noxia
,Knight
Knight Captain,Eva
Red Hood,Elvira
,White Beast
Vampire Girl,Karina
Innkeeper,Loraine
Twin Fighter,Lavi
Twin Healer,Favi
Leaf Fairy,Aoba
Mad Scientist,Gremory
Pirate,Rachel
Sniper,Hekate
Innuit Girl,Coco
Engineer,Marianne
Scientist,Sohee
Kung Fu Master,Fei
Kung Fu Master,Mei
Desert Mercenary,Marvin
Aspiring Warrior,Craig
Swordsman,Akayuki
Dragon Talon Clan,Ranpang
Succubus Adventurer,Yuze
Princess,Aisha
Dragon Knight,Shapira
Swindler Magician,Dolf
Dual-personality Maid,Amy
Fire Dragon,Girgas
Dimension Traveler,Catherine
Battleball Girl,Rie
Dragon Seeking Girl,Neva
The Senior Guardian,Linda
Guardian Member,Bob
Byrule's Hero,Hyper
Peddler,Maria
Caravan,Lisa
Elf Archer,Leah
Teatan Ninja,Jay
Ultra Rationale,Dragon
Super Teatan 2,Blade
Homecoming Queen,Mina
Dragon Talon Clan,Hoshida
Succubus Researcher,Peggy
Relic Collector,Allie
Ghost Guard,Oralie
Baby White Tiger,Kang
Merchant,Agatha
Doctor,DaVinci
Class President,Kate
Town Guide,Zoe
Monk Disciple,Rio
Private,Nyan
Junior Engineer,Marty Junior
