,MLB,5☆,4☆,3☆,2☆,1☆
low grade attack stone,528,498,408,312,,
mid grade attack stone,314,294,222,150,,
high grade attack stone,142,132,78,30,,
low grade def stone,576,546,396,300,,
mid grade def stone,392,372,252,180,,
high grade def stone,232,222,132,84,,
low grade hp stone,750,690,390,246,,
mid grade hp stone,520,480,240,132,,
high grade hp stone,200,180,90,18,,
low grade dream stone,174,156,96,55,,
mid grade dream stone,113,101,55,26,,
high grade dream stone,59,53,21,4,,
legendary awakening stone,87,21,9,0,,
