,MLB,5☆,4☆,3☆,2☆,1☆
low grade attack stone,585,555,375,243,135,
mid grade attack stone,380,360,216,117,45,
high grade attack stone,220,210,102,36,0,
low grade def stone,600,555,375,243,135,
mid grade def stone,390,360,216,117,45,
high grade def stone,225,210,102,36,0,
low grade hp stone,570,525,261,141,87,
mid grade hp stone,402,372,162,72,36,
high grade hp stone,249,234,78,18,0,
low grade dream stone,175,157,68,37,26,
mid grade dream stone,117,105,37,15,8,
high grade dream stone,69,63,16,3,0,
legendary awakening stone,87,21,3,0,0,
