,MLB,5☆,4☆,3☆,2☆,1☆
low grade attack stone,657,642,282,120,0,
mid grade attack stone,496,486,198,78,0,
high grade attack stone,335,330,114,36,0,
low grade def stone,480,420,420,108,108,
mid grade def stone,310,270,270,36,36,
high grade def stone,176,156,156,0,0,
low grade hp stone,594,534,390,354,234,
mid grade hp stone,222,282,174,150,72,
high grade hp stone,92,72,48,36,0,
low grade dream stone,174,156,138,63,36,
mid grade dream stone,114,102,88,32,13,
high grade dream stone,54,58,48,11,0,
legendary awakening stone,87,21,21,3,0,
