,MLB,5☆,4☆,3☆,2☆,1☆
low grade attack stone,765,720,510,258,,
mid grade attack stone,390,360,312,126,,
high grade attack stone,201,186,156,36,,
low grade def stone,468,438,348,186,,
mid grade def stone,296,276,204,84,,
high grade def stone,157,147,93,18,,
low grade hp stone,390,360,234,162,,
mid grade hp stone,230,210,114,60,,
high grade hp stone,130,120,54,18,,
low grade dream stone,169,151,131,55,,
mid grade dream stone,111,102,86,29,,
high grade dream stone,68,62,50,12,,
legendary awakening stone,87,21,21,3,,
