,MLB,5☆,4☆,3☆,2☆,1☆
low grade attack stone,582,552,348,252,,
mid grade attack stone,374,354,192,120,,
high grade attack stone,112,102,66,18,,
low grade def stone,696,666,390,246,,
mid grade def stone,482,462,246,138,,
high grade def stone,193,183,114,42,,
low grade hp stone,570,510,330,240,,
mid grade hp stone,370,330,186,120,,
high grade hp stone,119,99,78,36,,
low grade dream stone,150,132,78,66,,
mid grade dream stone,109,97,42,34,,
high grade dream stone,53,47,11,7,,
legendary awakening stone,87,21,3,3,,
