,MLB,5☆,4☆,3☆,2☆,1☆
low grade attack stone,600,570,450,258,,
mid grade attack stone,410,390,294,150,,
high grade attack stone,220,210,138,42,,
low grade def stone,546,498,366,210,,
mid grade def stone,352,318,216,96,,
high grade def stone,176,156,84,0,,
low grade hp stone,642,612,462,294,,
mid grade hp stone,434,414,294,168,,
high grade hp stone,268,258,168,84,,
low grade dream stone,170,152,102,78,,
mid grade dream stone,114,102,64,46,,
high grade dream stone,63,57,31,19,,
legendary awakening stone,87,21,9,9,,
