,MLB,5☆,4☆,3☆,2☆,1☆
low grade attack stone,534,504,384,288,,
mid grade attack stone,362,342,246,174,,
high grade attack stone,174,164,92,44,,
low grade def stone,702,672,492,348,,
mid grade def stone,476,456,312,204,,
high grade def stone,274,264,156,84,,
low grade hp stone,588,528,378,258,,
mid grade hp stone,406,366,246,156,,
high grade hp stone,224,204,114,54,,
low grade dream stone,166,148,134,66,,
mid grade dream stone,140,128,118,67,,
high grade dream stone,56,50,44,10,,
legendary awakening stone,87,21,21,3,,
