,MLB,5☆,4☆,3☆,2☆,1☆
low grade attack stone,588,558,414,204,84,
mid grade attack stone,404,384,270,114,36,
high grade attack stone,232,222,138,36,0,
low grade def stone,411,366,366,252,150,
mid grade def stone,222,192,192,108,42,
high grade def stone,99,84,84,30,0,
low grade hp stone,729,684,420,258,108,
mid grade hp stone,498,468,258,138,42,
high grade hp stone,291,276,120,42,0,
low grade dream stone,169,151,81,57,37,
mid grade dream stone,113,101,48,30,16,
high grade dream stone,67,61,25,13,5,
legendary awakening stone,87,21,3,3,3,
