,MLB,5☆,4☆,3☆,2☆,1☆
low grade attack stone,330,300,300,156,36,
mid grade attack stone,200,180,180,72,0,
high grade attack stone,106,96,96,24,0,
low grade def stone,711,666,240,150,24,
mid grade def stone,522,492,156,90,6,
high grade def stone,345,330,84,42,0,
low grade hp stone,729,684,444,282,162,
mid grade hp stone,492,462,270,150,72,
high grade hp stone,273,258,114,36,0,
low grade dream stone,196,178,101,83,15,
mid grade dream stone,110,98,40,28,4,
high grade dream stone,61,55,16,10,0,
legendary awakening stone,87,21,3,3,0,
