,MLB,5☆,4☆,3☆,2☆,1☆
low grade attack stone,783,753,531,369,108,
mid grade attack stone,584,564,342,222,48,
high grade attack stone,337,327,165,87,0,
low grade def stone,492,447,309,309,111,
mid grade def stone,294,264,159,159,36,
high grade def stone,135,120,48,48,0,
low grade hp stone,552,507,387,243,111,
mid grade hp stone,354,324,228,123,36,
high grade hp stone,195,180,108,42,0,
low grade dream stone,161,143,92,66,18,
mid grade dream stone,103,91,53,34,3,
high grade dream stone,57,51,26,14,0,
legendary awakening stone,87,21,9,3,0,
