,MLB,5☆,4☆,3☆,2☆,1☆
low grade attack stone,678,648,498,330,,
mid grade attack stone,446,426,306,198,,
high grade attack stone,250,240,150,66,,
low grade def stone,654,534,474,306,,
mid grade def stone,332,312,264,156,,
high grade def stone,178,168,132,48,,
low grade hp stone,474,432,312,144,,
mid grade hp stone,322,294,198,72,,
high grade hp stone,194,180,108,24,,
low grade dream stone,164,146,100,78,,
mid grade dream stone,98,96,62,46,,
high grade dream stone,55,49,27,19,,
legendary awakening stone,87,21,9,9,,
