,MLB,5☆,4☆,3☆,2☆,1☆
low grade attack stone,714,684,594,450,264,
mid grade attack stone,452,432,360,252,132,
high grade attack stone,190,180,126,54,0,
low grade def stone,381,336,246,222,108,
mid grade def stone,210,180,108,90,18,
high grade def stone,111,96,42,30,0,
low grade hp stone,549,504,294,132,6,
mid grade hp stone,390,360,204,84,0,
high grade hp stone,237,222,120,42,0,
low grade dream stone,152,134,74,46,23,
mid grade dream stone,112,100,47,31,9,
high grade dream stone,60,54,18,14,3,
legendary awakening stone,66,21,3,3,0,
