,MLB,5☆,4☆,3☆,2☆,1☆
low grade attack stone,450,420,282,246,144,
mid grade attack stone,260,240,132,108,42,
high grade attack stone,130,120,42,30,0,
low grade def stone,615,570,390,246,108,
mid grade def stone,420,390,246,138,48,
high grade def stone,237,222,114,42,0,
low grade hp stone,783,738,372,228,144,
mid grade hp stone,318,288,234,126,72,
high grade hp stone,321,306,96,24,0,
low grade dream stone,177,159,81,63,20,
mid grade dream stone,116,104,45,31,5,
high grade dream stone,65,59,19,9,0,
legendary awakening stone,87,21,3,3,0,
