,MLB,5☆,4☆,3☆,2☆,1☆
low grade attack stone,744,699,534,198,,
mid grade attack stone,522,492,360,108,,
high grade attack stone,318,303,204,36,,
low grade def stone,678,648,408,240,,
mid grade def stone,476,456,264,138,,
high grade def stone,292,282,138,54,,
low grade hp stone,576,546,396,228,,
mid grade hp stone,392,372,252,126,,
high grade hp stone,232,222,132,48,,
low grade dream stone,178,160,100,72,,
mid grade dream stone,117,105,59,39,,
high grade dream stone,65,59,27,15,,
legendary awakening stone,87,21,9,9,,
