,MLB,5☆,4☆,3☆,2☆,1☆
low grade attack stone,510,465,360,180,,
mid grade attack stone,330,300,216,81,,
high grade attack stone,195,180,117,27,,
low grade def stone,672,672,462,126,,
mid grade def stone,504,504,336,84,,
high grade def stone,336,336,210,42,,
low grade hp stone,723,663,558,390,,
mid grade hp stone,466,426,342,216,,
high grade hp stone,236,216,153,69,,
low grade dream stone,168,150,95,48,,
mid grade dream stone,112,100,58,23,,
high grade dream stone,68,62,33,9,,
legendary awakening stone,87,21,9,3,,
