,MLB,5☆,4☆,3☆,2☆,1☆
low grade attack stone,564,534,450,330,,
mid grade attack stone,392,372,306,216,,
high grade attack stone,220,210,162,102,,
low grade def stone,654,594,450,402,,
mid grade def stone,418,378,264,228,,
high grade def stone,212,192,108,84,,
low grade hp stone,684,654,414,228,,
mid grade hp stone,458,438,246,108,,
high grade hp stone,274,264,120,30,,
low grade dream stone,172,154,154,136,,
mid grade dream stone,116,104,104,90,,
high grade dream stone,67,61,61,51,,
legendary awakening stone,87,21,21,21,,
