,MLB,5☆,4☆,3☆,2☆,1☆
low grade attack stone,522,492,312,144,,
mid grade attack stone,386,366,222,96,,
high grade attack stone,250,240,132,48,,
low grade def stone,810,750,480,288,,
mid grade def stone,590,540,324,180,,
high grade def stone,370,330,168,72,,
low grade hp stone,648,618,408,216,,
mid grade hp stone,416,396,228,84,,
high grade hp stone,250,240,114,18,,
low grade dream stone,162,144,118,44,,
mid grade dream stone,106,94,74,19,,
high grade dream stone,61,55,41,5,,
legendary awakening stone,87,21,21,3,,
