,MLB,5☆,4☆,3☆,2☆,1☆
low grade attack stone,606,576,486,138,30,
mid grade attack stone,422,402,330,72,6,
high grade attack stone,256,246,192,24,0,
low grade def stone,489,444,420,288,180,
mid grade def stone,162,132,114,144,72,
high grade def stone,99,84,72,36,0,
low grade hp stone,639,594,594,354,108,
mid grade hp stone,408,378,378,198,36,
high grade hp stone,213,198,198,78,0,
low grade dream stone,176,158,118,68,35,
mid grade dream stone,112,100,70,36,14,
high grade dream stone,55,49,29,11,0,
legendary awakening stone,87,21,9,3,0,
