,MLB,5☆,4☆,3☆,2☆,1☆
low grade attack stone,774,729,492,360,108,
mid grade attack stone,552,522,336,216,48,
high grade attack stone,312,297,162,84,0,
low grade def stone,453,423,321,321,114,
mid grade def stone,266,246,168,168,39,
high grade def stone,115,105,51,51,0,
low grade hp stone,513,483,363,246,114,
mid grade hp stone,326,306,210,126,39,
high grade hp stone,175,165,93,42,0,
low grade dream stone,172,154,72,62,18,
mid grade dream stone,114,102,43,36,5,
high grade dream stone,64,58,22,18,0,
legendary awakening stone,87,21,3,3,0,
