,MLB,5☆,4☆,3☆,2☆,1☆
low grade attack stone,426,402,312,228,120,
mid grade attack stone,262,246,174,111,39,
high grade attack stone,140,132,78,36,0,
low grade def stone,447,411,321,237,120,
mid grade def stone,276,252,180,117,39,
high grade def stone,147,135,81,39,0,
low grade hp stone,810,774,474,234,144,
mid grade hp stone,567,543,303,129,57,
high grade hp stone,336,324,144,36,0,
low grade dream stone,163,145,103,56,22,
mid grade dream stone,93,81,67,28,7,
high grade dream stone,52,46,34,9,1,
legendary awakening stone,87,21,15,3,0,
