,MLB,5☆,4☆,3☆,2☆,1☆
low grade attack stone,570,540,342,237,111,27
mid grade attack stone,380,360,204,126,42,0
high grade attack stone,216,206,92,42,0,0
low grade def stone,633,588,360,255,111,27
mid grade def stone,426,396,216,138,42,0
high grade def stone,233,218,98,48,0,0
low grade hp stone,633,588,360,255,111,27
mid grade hp stone,426,396,216,138,42,0
high grade hp stone,233,218,98,48,0,0
low grade dream stone,175,157,83,60,28,9
mid grade dream stone,114,102,47,31,9,1
high grade dream stone,63,57,21,12,0,0
legendary awakening stone,87,21,6,3,0,0
