,MLB,5☆,4☆,3☆,2☆,1☆
low grade attack stone,522,492,372,300,,
mid grade attack stone,326,306,210,156,,
high grade attack stone,160,150,78,42,,
low grade def stone,774,714,594,354,,
mid grade def stone,526,486,390,210,,
high grade def stone,296,276,204,84,,
low grade hp stone,432,402,312,240,,
mid grade hp stone,428,408,192,138,,
high grade hp stone,154,144,90,54,,
low grade dream stone,168,150,100,84,,
mid grade dream stone,109,97,59,47,,
high grade dream stone,61,55,29,21,,
legendary awakening stone,87,21,9,9,,
