,MLB,5☆,4☆,3☆,2☆,1☆
low grade attack stone,444,414,330,282,,
mid grade attack stone,248,228,162,126,,
high grade attack stone,130,120,48,48,,
low grade def stone,645,600,342,342,,
mid grade def stone,414,384,216,216,,
high grade def stone,243,228,96,96,,
low grade hp stone,393,348,348,348,,
mid grade hp stone,216,186,186,186,,
high grade hp stone,39,24,24,24,,
low grade dream stone,138,120,80,70,,
mid grade dream stone,99,87,57,49,,
high grade dream stone,52,46,26,20,,
legendary awakening stone,81,15,3,3,,
