,MLB,5☆,4☆,3☆,2☆,1☆
low grade attack stone,402,372,282,150,42,
mid grade attack stone,266,246,174,78,12,
high grade attack stone,202,192,84,24,0,
low grade def stone,753,708,684,432,216,
mid grade def stone,456,426,408,222,78,
high grade def stone,219,204,192,72,0,
low grade hp stone,645,600,600,192,72,
mid grade hp stone,450,420,420,114,36,
high grade hp stone,255,240,240,36,0,
low grade dream stone,179,161,121,67,34,
mid grade dream stone,116,104,74,36,14,
high grade dream stone,59,53,33,11,0,
legendary awakening stone,87,21,9,3,0,
