,MLB,5☆,4☆,3☆,2☆,1☆
low grade attack stone,417,387,234,216,204,
mid grade attack stone,236,216,96,84,78,
high grade attack stone,103,93,6,0,0,
low grade def stone,525,480,390,246,108,
mid grade def stone,348,318,246,138,48,
high grade def stone,183,168,114,42,0,
low grade hp stone,855,810,444,282,90,
mid grade hp stone,600,570,282,162,36,
high grade hp stone,363,348,138,60,0,
low grade dream stone,152,134,58,46,21,
mid grade dream stone,100,88,31,23,6,
high grade dream stone,57,51,13,9,0,
legendary awakening stone,87,21,3,3,0,
