,MLB,5☆,4☆,3☆,2☆,1☆
low grade attack stone,582,552,408,264,,
mid grade attack stone,386,366,252,144,,
high grade attack stone,214,204,120,48,,
low grade def stone,585,540,360,240,,
mid grade def stone,390,360,216,126,,
high grade def stone,219,204,96,36,,
low grade hp stone,573,528,438,318,,
mid grade hp stone,336,306,234,144,,
high grade hp stone,165,150,96,36,,
low grade dream stone,164,126,108,60,,
mid grade dream stone,108,93,79,31,,
high grade dream stone,59,53,43,9,,
legendary awakening stone,87,21,21,3,,
