,MLB,5☆,4☆,3☆,2☆,1☆
low grade attack stone,648,618,468,276,,
mid grade attack stone,434,414,294,150,,
high grade attack stone,244,234,144,48,,
low grade def stone,642,612,402,258,,
mid grade def stone,434,414,246,138,,
high grade def stone,250,240,114,42,,
low grade hp stone,618,558,348,180,,
mid grade hp stone,266,396,228,102,,
high grade hp stone,436,246,120,36,,
low grade dream stone,170,152,91,65,,
mid grade dream stone,109,97,38,18,,
high grade dream stone,59,53,16,2,,
legendary awakening stone,87,21,0,0,,
