,MLB,5☆,4☆,3☆,2☆,1☆
low grade attack stone,594,564,444,120,36,
mid grade attack stone,410,390,294,54,0,
high grade attack stone,262,252,180,24,0,
low grade def stone,525,480,360,198,78,
mid grade def stone,360,330,234,114,36,
high grade def stone,201,186,114,36,0,
low grade hp stone,705,660,264,264,102,
mid grade hp stone,486,456,144,144,42,
high grade hp stone,285,270,42,42,0,
low grade dream stone,175,157,80,48,13,
mid grade dream stone,109,97,39,23,2,
high grade dream stone,62,56,17,7,0,
legendary awakening stone,87,21,3,3,0,
