,MLB,5☆,4☆,3☆,2☆,1☆
low grade attack stone,452,422,321,213,,
mid grade attack stone,272,252,171,102,,
high grade attack stone,118,108,48,18,,
low grade def stone,651,591,405,273,,
mid grade def stone,388,348,240,144,,
high grade def stone,236,216,114,54,,
low grade hp stone,744,714,534,357,,
mid grade hp stone,488,468,324,192,,
high grade hp stone,268,258,150,63,,
low grade dream stone,157,139,84,56,,
mid grade dream stone,102,90,48,27,,
high grade dream stone,55,49,20,6,,
legendary awakening stone,87,21,9,3,,
