,MLB,5☆,4☆,3☆,2☆,1☆
low grade attack stone,756,726,381,126,126,
mid grade attack stone,548,528,252,63,63,
high grade attack stone,340,330,123,0,0,
low grade def stone,513,468,468,396,18,
mid grade def stone,336,306,306,252,0,
high grade def stone,177,162,162,126,0,
low grade hp stone,570,525,216,216,216,
mid grade hp stone,342,312,72,72,72,
high grade hp stone,186,171,0,0,0,
low grade dream stone,167,149,73,60,27,
mid grade dream stone,111,99,42,32,9,
high grade dream stone,65,59,21,14,1,
legendary awakening stone,87,21,3,3,0,
