,MLB,5☆,4☆,3☆,2☆,1☆
low grade attack stone,573,558,378,234,,
mid grade attack stone,394,384,240,132,,
high grade attack stone,233,228,120,48,,
low grade def stone,702,642,402,210,,
mid grade def stone,484,444,252,108,,
high grade def stone,308,288,144,48,,
low grade hp stone,708,648,588,252,,
mid grade hp stone,496,456,408,156,,
high grade hp stone,284,264,228,60,,
low grade dream stone,166,148,134,54,,
mid grade dream stone,110,98,88,29,,
high grade dream stone,59,53,47,9,,
legendary awakening stone,87,21,21,3,,
