,MLB,5☆,4☆,3☆,2☆,1☆
low grade attack stone,576,546,384,288,,
mid grade attack stone,368,356,216,144,,
high grade attack stone,184,198,84,36,,
low grade def stone,774,684,444,300,,
mid grade def stone,528,474,282,174,,
high grade def stone,300,264,120,48,,
low grade hp stone,516,516,336,240,,
mid grade hp stone,342,342,198,126,,
high grade hp stone,192,192,84,36,,
low grade dream stone,170,152,94,51,,
mid grade dream stone,109,117,73,22,,
high grade dream stone,59,55,31,4,,
legendary awakening stone,87,27,15,0,,
