,MLB,5☆,4☆,3☆,2☆,1☆
low grade attack stone,414,384,294,150,,
mid grade attack stone,272,252,180,72,,
high grade attack stone,154,144,90,18,,
low grade def stone,726,681,330,234,,
mid grade def stone,516,486,210,138,,
high grade def stone,306,291,90,42,,
low grade hp stone,768,717,552,216,,
mid grade hp stone,526,492,360,108,,
high grade hp stone,326,309,210,42,,
low grade dream stone,172,154,126,50,,
mid grade dream stone,119,107,82,25,,
high grade dream stone,66,60,44,6,,
legendary awakening stone,87,21,21,3,,
