,MLB,5☆,4☆,3☆,2☆,1☆
low grade attack stone,756,726,381,126,126,
mid grade attack stone,548,528,252,63,63,
high grade attack stone,340,330,123,0,0,
low grade def stone,513,468,468,396,18,
mid grade def stone,336,306,306,252,0,
high grade def stone,177,162,162,126,0,
low grade hp stone,558,513,204,204,204,
mid grade hp stone,336,306,66,66,66,
high grade hp stone,186,171,0,0,0,
low grade dream stone,172,154,74,62,25,
mid grade dream stone,116,104,43,34,11,
high grade dream stone,67,61,19,13,4,
legendary awakening stone,87,21,3,3,0,
