,MLB,5☆,4☆,3☆,2☆,1☆
low grade attack stone,642,612,474,318,,
mid grade attack stone,386,366,258,144,,
high grade attack stone,214,204,126,54,,
low grade def stone,645,600,600,396,,
mid grade def stone,420,390,390,240,,
high grade def stone,201,186,186,90,,
low grade hp stone,393,348,348,252,,
mid grade hp stone,246,216,216,144,,
high grade hp stone,99,84,84,36,,
low grade dream stone,160,142,102,52,,
mid grade dream stone,104,92,62,35,,
high grade dream stone,60,54,34,16,,
legendary awakening stone,87,21,9,3,,
