,MLB,5☆,4☆,3☆,2☆,1☆
low grade attack stone,708,678,450,216,96,
mid grade attack stone,494,474,294,120,42,
high grade attack stone,292,282,150,36,0,
low grade def stone,417,372,372,234,132,
mid grade def stone,234,204,204,102,36,
high grade def stone,111,96,96,30,0,
low grade hp stone,663,618,414,228,90,
mid grade hp stone,456,426,264,126,63,
high grade hp stone,267,252,132,42,0,
low grade dream stone,151,133,67,50,17,
mid grade dream stone,99,87,38,27,4,
high grade dream stone,58,52,20,15,2,
legendary awakening stone,87,21,3,3,0,
