,MLB,5☆,4☆,3☆,2☆,1☆
low grade attack stone,660,630,510,342,,
mid grade attack stone,410,390,294,168,,
high grade attack stone,208,198,126,42,,
low grade def stone,678,648,504,390,,
mid grade def stone,446,426,312,228,,
high grade def stone,232,222,138,90,,
low grade hp stone,462,402,198,102,,
mid grade hp stone,334,294,132,60,,
high grade hp stone,206,186,66,18,,
low grade dream stone,166,148,78,62,,
mid grade dream stone,113,101,48,36,,
high grade dream stone,61,55,19,11,,
legendary awakening stone,87,21,3,3,,
