,MLB,5☆,4☆,3☆,2☆,1☆
low grade attack stone,666,636,516,348,,
mid grade attack stone,458,438,342,216,,
high grade attack stone,222,212,140,56,,
low grade def stone,750,690,570,330,,
mid grade def stone,484,444,348,168,,
high grade def stone,296,276,204,84,,
low grade hp stone,402,372,282,234,,
mid grade hp stone,254,234,162,126,,
high grade hp stone,130,120,66,42,,
low grade dream stone,166,148,98,62,,
mid grade dream stone,110,98,60,33,,
high grade dream stone,59,53,27,9,,
legendary awakening stone,87,21,9,3,,
